MT-CO1	COX1
ENO1	ENO1
CENPA	CSE4
ELOVL3	ELO2
ELOVL3	ELO1
ELOVL3	ELO3
DHX32	PRP43
ARHGAP11A	LRG1
PTPN1	PTP1
SNRPG	SMX2
CCNB2	CLB4
CCNB2	CLB6
CCNB2	CLB5
CCNB2	CLB1
CCNB2	CLB2
CCNB2	CLB3
ERCC6	RAD26
MAPRE1	BIM1
RPS6KA5	YPK1
RPS6KA5	YPK2
RPS6KA5	SCH9
SETD3	RKM4
UBE2B	RAD6
CALM3	CMD1
PIN1	ESS1
UBE2D3	UBC4
RPGR	SRM1
TAOK1	KIC1
COPZ2	RET3
USP14	UBP6
HACD1	PHS1
PNKD	GLO2
PNKD	GLO4
EZH2	SET2
FAM96B	CIA2
RCBTB2	HUL4
RPS15	RPS15
MAP4K5	KIC1
MELK	KIN1
MELK	KIN2
REV1	REV1
CLCNKB	GEF1
EEF1AKMT1	AML1
PDIK1L	CAK1
NKTR	CPR6
CLK4	KNS1
PLEKHH3	MYO5
PLEKHH3	MYO3
TXNDC2	TRX1
TXNDC2	TRX2
CCT8L2	CCT8
GAPDHS	TDH3
ATG4B	ATG4
ALDH6A1	ALD5
ALDH6A1	ALD6
ALDH6A1	ALD2
CDC6	ORC1
CDC6	SIR3
UPF1	NAM7
RICTOR	TSC11
SLC2A4	VPS73
IER3IP1	YOS1
JAZF1	SFP1
TKTL2	TKL1
GPX8	HYR1
GPX8	GPX1
C2orf76	AIM29
GFM1	MEF1
SLC44A2	PNS1
INPP5D	INP53
INPP5D	INP51
INPP5D	INP52
RAB12	YPT1
MYLK4	MEK1
EXOSC1	CSL4
PTPN23	RIM20
BRPF3	NTO1
ITSN2	EDE1
PFDN5	GIM5
KIF24	KIP3
EHD4	EDE1
COPA	COP1
UCHL1	YUH1
CNN3	SCP1
PIGM	GPI14
AARS	ALA1
KCNIP4	FRQ1
SUCLG1	LSC1
ETF1	SUP45
IBA57	IBA57
SLC7A6	MUP1
SLC7A6	MUP3
AQP4	AQY1
AQP4	AQY2
GINS2	PSF2
CTB-54O9.9	DUS3
RPS17	RPS17A
RPL36A-HNRNPH2	RPL42A
RPL36A-HNRNPH2	RPL42B
RP11-463D19.2	UBC4
TSSK2	KIN4
TSSK2	FRK1
PLD2	SPO14
SFXN5	FSF1
NSUN7	RCM1
PMM1	SEC53
KIF3C	KIP1
KIF3C	CIN8
H2BFS	HTB1
CNOT6	CCR4
SSU72	SSU72
TSSK3	KIN4
TSSK3	FRK1
PIGT	GPI16
USP40	UBP15
BUB1B	BUB1
BUB1B	MAD3
ZMPSTE24	STE24
PGAM1	GPM1
SRPK1	SKY1
SLC31A2	CTR2
RP11-468E2.1	EMP70
RP11-468E2.1	TMN2
ACSF3	PCS60
SNRPD3	SMD3
STK10	KIC1
SLC25A13	AGC1
PDK4	PKP1
EIF3B	PRT1
KMT2C	SET1
CNOT8	POP2
NIT1	NIT2
RUVBL2	RVB2
MYO1E	MYO5
MYO1E	MYO3
AMT	GCV1
MRE11A	MRE11
TUFM	TUF1
PI4KA	STT4
ARHGEF18	ROM1
ARHGEF18	ROM2
ABC13-47656900H15.1	PBS2
VDAC3	POR1
VDAC3	POR2
SMC4	SMC4
PTPRJ	PTP1
FAF2	UBX3
SRGAP3	RGA1
SRGAP3	RGA2
HIST1H2AG	HTA2
MAK16	MAK16
KDELR2	ERD2
PEX12	PEX12
CSTF2	RNA15
PFDN6	YKE2
KHDRBS1	MSL5
PDCL3	PLP2
UBE2C	UBC11
CDC20B	CDC20
RPAP1	RBA50
SLC44A3	PNS1
TUBA3C	TUB3
COX10	COX10
PTPN11	PTP1
PITRM1	CYM1
RP11-385D13.1	MET30
ZFYVE9	FAB1
AMFR	HRD1
RAB40C	SEC4
DRAP1	BUR6
AKT3	YPK1
AKT3	YPK2
AKT3	SCH9
CHURC1-FNTB	RAM1
PSMA1	PRE5
DNAJB2	SIS1
SLC38A3	AVT2
SCYL1	CEX1
MYO5B	MYO2
EXOC5	SEC10
FNTB	RAM1
KIF26B	SMY1
SEC22B	SEC22
CHCHD2	MIX17
DNAJC2	ZUO1
ETNPPL	ARG8
CDK1	CDC28
MIOS	SEA4
CAPZA2	CAP1
GGT7	ECM38
IMPDH1	IMD2
RNPEP	LAP2
SAE1	AOS1
CNBP	GIS2
RAB18	YPT1
TBPL1	SPT15
FBXO9	HRT3
MTHFD2L	ADE3
AKR1C1	GRE3
RPL6	RPL6B
ARHGEF3	ROM1
ARHGEF3	ROM2
CCND2	CLB4
CCND2	CLB6
CCND2	CLB5
CCND2	CLB1
CCND2	CLB2
CCND2	CLB3
USP17L23	UBP8
USP17L24	UBP8
UBA6	UBA1
WRN	SGS1
AK2	ADK1
RAP2C	RSR1
SLC25A39	MTM1
IMPA2	INM2
IMPA2	INM1
RPEL1	RPE1
CCND1	CLB4
CCND1	CLB6
CCND1	CLB5
CCND1	CLB1
CCND1	CLB2
CCND1	CLB3
DR1	NCB2
NAPB	SEC17
SMARCA5	ISW2
SPAG16	TAF5
SURF1	SHY1
ACOX2	POX1
SNRNP70	SNP1
NME8	YNK1
CDK3	CDC28
LEPROT	VPS55
TRIT1	MOD5
METTL11B	TAE1
PCYT1B	PCT1
GRTP1	MSB3
GRTP1	MSB4
CREBBP	BDF1
CREBBP	BDF2
SEC23A	SEC23
RHOBTB1	RHO1
GPS1	RPN7
ARL2	ARF2
NARS	DED81
TCEA2	DST1
TBC1D3D	MSB3
TBC1D3D	MSB4
PPP2R2B	CDC55
STK26	SPS1
MYO19	MYO4
ACAP2	AGE2
ARL5A	ARF3
PAPD5	TRF5
PAPD5	PAP2
MAP1LC3B	ATG8
STXBP1	SEC1
INPP5F	SAC1
RAB9A	YPT7
CDK14	PHO85
PSMB6	PRE3
MARK2	SNF1
SEC24D	SFB2
SEC24D	SEC24
PTPN5	PTP1
VDAC1	POR1
VDAC1	POR2
STXBP2	SEC1
ARHGAP31	RGD1
RNF19B	ITT1
GALE	GAL10
POLR3A	RPO31
ACTR3B	ARP3
ANAPC11	APC11
HIST1H4E	HHF1
HIST1H4E	HHF2
HSD17B13	TDA5
TRUB2	PUS4
SLC25A17	YEA6
SLC25A17	YIA6
COQ6	COQ6
NUAK2	SNF1
RAB33B	YPT10
RAB33B	YPT52
ELAC2	TRZ1
SLC4A10	BOR1
RBM22	ECM2
PSMB4	PRE4
DCUN1D1	DCN1
FH	FUM1
RPL35	RPL35B
RPL35	RPL35A
PIK3CD	VPS34
HIST1H3C	HHT1
HIST1H3C	HHT2
SEL1L2	HRD3
RPS9	RPS9A
RPS9	RPS9B
TWF1	TWF1
TIMM50	TIM50
WDR6	RTT10
PRODH2	PUT1
BCS1L	BCS1
PDXP	PHO13
RAB15	SEC4
DCUN1D4	DCN1
RAB9B	YPT7
TRMT61A	GCD14
SEC23B	SEC23
GNL3L	NUG1
ILKAP	PTC1
MOB3C	MOB1
SLC25A45	CRC1
PRKCH	PKC1
INO80	INO80
RANBP6	PSE1
CUX2	COY1
ATAD2B	YTA7
GINS4	SLD5
RASAL2	BUD2
WDR37	YTM1
CWC22	CWC22
MEF2A	SMP1
CALM2	CMD1
ACTBL2	ACT1
ATP6V1G3	VMA10
ABT1	ESF2
CTU1	NCS6
DHRS9	LYS2
EIF2B5	GCD6
USP5	UBP14
ATP10B	DNF1
TRMT44	TRM44
CCT3	CCT3
GET4	GET4
TUBB2A	TUB2
ALDH4A1	PUT2
POLD1	POL3
ENPP6	NPP1
ENPP6	NPP2
POLRMT	RPO41
AP2A1	APL3
CCT6B	CCT6
TTBK1	HRR25
YARS	TYS1
RDH10	TDA5
EEF1A1	TEF2
CDA	CDD1
HSD17B7	ERG27
AAK1	ARK1
AAK1	AKL1
AAK1	PRK1
REEP1	YOP1
KLF3	FZF1
MAP3K1	BCK1
MAP3K1	STE11
GNB2	STE4
PPP6R3	SAP4
PPP6R3	SAP190
PPP6R3	SAP185
PPP6R3	SAP155
TTC27	EMW1
MYEF2	HRB1
MYEF2	GBP2
OSBPL3	OSH2
OSBPL3	SWH1
RPL15	RPL15B
HIST1H4H	HHF1
HIST1H4H	HHF2
DHFR	DFR1
GFER	ERV1
DTYMK	CDC8
USP27X	UBP8
USP17L8	UBP8
METAP2	MAP2
HAO2	CYB2
SLC25A42	LEU5
NFU1	NFU1
ARL9	ARF2
SEC61A2	SEC61
CHM	GDI1
IPO11	KAP120
POLE2	DPB2
RAB40AL	SEC4
PSMA5	PUP2
TXNL4B	DIB1
ARHGAP21	BEM2
RAB21	YPT53
RAB21	VPS21
RGPD4	YRB1
RASL11A	RHB1
ADI1	ADI1
PPP6R1	SAP4
PPP6R1	SAP190
PPP6R1	SAP185
PPP6R1	SAP155
HIST2H4A	HHF1
HIST2H4A	HHF2
PPIG	CPR6
RTCA	RCL1
PRELID3A	UPS2
PRELID3A	UPS3
AARS2	ALA1
UBE2I	UBC9
STK17A	MEK1
SF3B4	HSH49
USP17L21	UBP8
HCFC1	KEL2
HCFC1	KEL1
RNF20	BRE1
HNRNPD	HRP1
EFCAB2	CDC31
STK39	STE20
CTDSPL2	PSR1
CTDSPL2	PSR2
TRRAP	TRA1
RPS25	RPS25B
RPS25	RPS25A
SEPT1	CDC10
ZFYVE28	FAB1
DNAAF1	SDS22
VCP	CDC48
DDX46	PRP5
SNW1	PRP45
PRPF6	PRP6
ISG20	REX4
NEDD8	RPL40A
NEDD8	RPL40B
ACTR2	ARP2
FOXJ1	FKH2
FOXJ1	FKH1
FOXJ1	FHL1
YIF1A	YIF1
SLC25A32	YEA6
SLC25A32	YIA6
KIF19	KIP3
MYLK3	MEK1
PUS7	PUS7
AREL1	RSP5
BCL2L2-PABPN1	SGN1
TSSK1B	KIN4
TSSK1B	FRK1
FAAH2	AMD2
CABP2	CMD1
SLC4A4	BOR1
PLD1	SPO14
HKDC1	GLK1
HKDC1	HXK2
KIF2A	KIP3
USP17L20	UBP8
MOGAT3	DGA1
PRKACA	TPK2
PRKACA	TPK1
RPL13	RPL13B
TAF6L	TAF6
COQ4	COQ4
RNF139	HRD1
CDK16	PHO85
MTHFD1	MIS1
DPH2	DPH2
RPS27L	RPS27B
CUL4A	CDC53
XPA	RAD14
ACO1	ACO1
SLC44A5	PNS1
SLC25A12	AGC1
PAAF1	RPN14
ATP6V1B2	VMA2
VPS8	VPS8
PTPRB	PTP1
EZH1	SET2
AGL	GDB1
RNF145	HRD1
GUCA1C	FRQ1
RABGAP1L	GYP5
RABGAP1L	GYL1
GOLPH3L	VPS74
HDAC6	HDA1
HPCAL4	FRQ1
GPT2	ALT2
GPT2	ALT1
SMARCAL1	MOT1
SLC4A9	BOR1
ING3	PHO23
COQ8A	COQ8
KATNAL1	VPS4
ZXDB	ACE2
ZXDB	SWI5
IPO5	PSE1
EXOSC4	SKI6
ENPP4	NPP1
ENPP4	NPP2
BICC1	SCP160
SPHK1	LCB4
SPHK1	LCB5
KCNIP3	FRQ1
ATP6V1E2	VMA4
RP11-108K14.8	MTG1
ME2	MAE1
TEAD1	TEC1
RFC5	RFC3
CH507-42P11.8	SNF1
CLN3	YHC3
ETHE1	GLO2
ETHE1	GLO4
TIMM17A	TIM17
GALK2	GAL1
GALK2	GAL3
RACK1	ASC1
DDX18	HAS1
RAB39A	YPT31
RAB39A	YPT32
OPLAH	OXP1
CTDSPL	PSR1
CTDSPL	PSR2
RAB34	YPT6
DHRS13	ENV9
YTHDF2	PHO92
CACNA1F	CCH1
ATP9A	NEO1
SPRYD3	VID30
ERAS	RAS1
ERAS	RAS2
ACSM2A	ACS1
ACSM2A	ACS2
HIST1H4F	HHF1
HIST1H4F	HHF2
SEC14L4	SEC14
COX19	COX19
POLK	REV1
PHYKPL	ARG8
NOP58	NOP58
RP4-559A3.7	PRO3
DDX52	ROK1
RPL23A	RPL25
PRKCZ	PKC1
AHI1	DGR2
LUC7L	LUC7
SOAT1	ARE2
SOAT1	ARE1
HMGCS1	ERG13
ARHGEF11	ROM1
ARHGEF11	ROM2
GTF3A	ACE2
GTF3A	SWI5
KIF20A	KIP2
ACSL1	FAA2
RAB8B	SEC4
NOVA2	PBP2
ELOVL4	ELO2
ELOVL4	ELO1
ELOVL4	ELO3
SRM	SPE3
PTPN22	PTP1
HUNK	KCC4
HUNK	HSL1
HUNK	GIN4
RAPGEFL1	CDC25
PNKP	HNT3
RPS6KA1	YPK1
RPS6KA1	YPK2
RPS6KA1	SCH9
ME3	MAE1
PCBP1	PBP2
CNN2	SCP1
PYCR2	PRO3
DNAJC19	MDJ2
PABPC4	PAB1
SARS	SES1
EIF2S3	GCD11
ORMDL1	ORM1
ORMDL1	ORM2
ZDHHC7	PFA3
CTNS	ERS1
MOB3B	MOB1
PPCS	CAB2
PCNA	POL30
TADA2B	ADA2
PRMT5	HSL7
GATA6	GZF3
GATA6	GAT1
GATA6	DAL80
GATA6	GLN3
PRKCSH	GTB1
ERP27	PDI1
ERP27	EUG1
APRT	APT1
APRT	APT2
MAST1	FPK1
MAST1	KIN82
ABCF1	GCN20
QARS	GLN4
GPX7	HYR1
GPX7	GPX1
RIT2	RSR1
DNAJB7	SIS1
HACD4	PHS1
TAPT1	EMP65
GBF1	GEA2
GBF1	GEA1
LIG1	CDC9
GGT5	ECM38
LSG1	LSG1
USP17L18	UBP8
TBC1D14	GYP5
TBC1D14	GYL1
MAN1B1	MNS1
NSMAF	BPH1
SRL	EDE1
APTX	HNT3
RPS2	RPS2
TAF7	TAF7
ABCG5	ADP1
CNOT1	CDC39
RABEPK	KEL2
RABEPK	KEL1
PABPC3	PAB1
KDM4A	GIS1
KDM4A	RPH1
DNAJC16	MDJ1
SLC25A23	LEU5
ANKRD42	NAS6
ARF4	ARF2
PPIAL4A	CPR3
PPIAL4A	CPR1
GAR1	GAR1
METAP1	MAP1
PPP1CC	GLC7
RASD1	RSR1
RRAGD	GTR2
GTPBP10	MTG2
NSF	SEC18
POLG	MIP1
DYRK3	YAK1
ZXDA	ACE2
ZXDA	SWI5
ERGIC2	ERV46
WDR83	PRP46
KDM4B	GIS1
KDM4B	RPH1
PLK1	CDC5
PEBP4	TFS1
SLC27A1	FAT1
DDX51	DBP6
REEP2	YOP1
DNAJB6	SIS1
TECRL	TSC13
PTPN2	PTP1
RCE1	RCE1
PSMA8	PRE6
UBE3C	HUL5
PWP2	PWP2
CNOT3	NOT3
POLR2H	RPB8
ENTPD2	YND1
VTI1A	VTI1
BOP1	ERB1
CCNH	CCL1
HNRNPA1L2	HRP1
PPM1F	PTC1
CYP51A1	ERG11
RASL12	RHB1
PPWD1	CPR2
PPWD1	CPR5
AP4B1	APL2
ARFGEF2	SEC7
RBBP4	HAT2
ASNA1	GET3
ACBD5	ACB1
MAP3K5	BCK1
MAP3K5	STE11
HSD17B11	TDA5
AGPS	DLD1
REEP6	YOP1
GPAA1	GAA1
UBD	UBI4
FOXF1	FKH2
FOXF1	FKH1
FOXF1	FHL1
TRIP13	PCH2
UAP1	QRI1
PRELID3B	UPS2
PRELID3B	UPS3
DCTD	DCD1
ATP9B	NEO1
ARHGAP11B	LRG1
EIF4E1B	CDC33
TPK1	THI80
PPIF	CPR3
PPIF	CPR1
GCH1	FOL2
CPT1C	CAT2
TOX4	POB3
RP11-512M8.5	VPS33
AQR	SEN1
RPE	RPE1
ISG15	UBI4
CANX	CNE1
SLC2A12	ITR1
SLC2A12	ITR2
SI	ROT2
SENP3-EIF4A1	ULP1
PSD3	GEA2
PSD3	GEA1
ABCB7	ATM1
NBEAL1	BPH1
RPL17-C18orf32	RPL17A
DDX24	MAK5
UBE3B	HUL5
SLC4A3	BOR1
ACSM3	ACS1
ACSM3	ACS2
DDX39B	SUB2
RGPD5	YRB1
ERO1A	ERO1
CDY1	ECI1
CDY1	DCI1
COG3	COG3
SLC25A44	AGC1
SEPT9	CDC10
LSM12	LSM12
GNA13	GPA1
ONECUT3	COY1
EPC2	EPL1
TCP1	TCP1
CDC7	CDC7
SRPK2	SKY1
CHCHD4	MIA40
IARS2	ISM1
SLC7A11	MUP1
SLC7A11	MUP3
FBL	NOP1
YWHAE	BMH1
YWHAE	BMH2
PPP1CA	GLC7
OVCA2	FSH1
NARS2	SLM5
CALML4	CMD1
USP43	UBP12
VAT1	ETR1
SLC27A2	FAT1
WIPI2	ATG18
DHX40	PRP22
ATP5D	ATP16
XRCC3	RAD57
PM20D1	CPS1
CDK5	CDC28
RANBP9	VID30
FAP	STE13
FAP	DAP2
SLC12A2	VHC1
CLP1	CLP1
AC068533.7	ARG4
AKR1C4	GRE3
AGAP14	AGE2
RPL4	RPL4B
PAK2	STE20
CDC25A	MIH1
SPEG	MEK1
FBXW10	MET30
RAB38	YPT7
GNB4	STE4
COX6B2	COX12
ALG3	ALG3
ABCB11	STE6
GPN2	GPN2
MBOAT4	ALE1
PCSK1	KEX2
KPNA2	SRP1
CHD2	CHD1
LYRM4	ISD11
AP3D1	APL5
MOK	IME2
MPC2	MPC2
MPC2	MPC3
RAB42	YPT31
RAB42	YPT32
RAB7A	YPT7
FBXL15	GRR1
CDC23	CDC23
DNAJC12	CAJ1
DNAJC12	DJP1
DDX20	DHH1
SLC25A16	LEU5
TUBAL3	TUB3
KYNU	BNA5
CDS2	CDS1
PFKFB4	FBP26
ZDHHC23	SWF1
WDR24	RTC1
RPS6	RPS6A
RPS6	RPS6B
FOXJ3	FKH2
FOXJ3	FKH1
FOXJ3	FHL1
EIF3A	RPG1
MAN1A1	MNS1
RPRD2	RTT103
C9orf3	LAP2
CMBL	AIM2
SLC38A10	AVT2
IP6K1	KCS1
POLD2	POL31
DNAJC14	HLJ1
LCP1	SAC6
XPNPEP2	FRA1
MAP1LC3A	ATG8
LTA4H	LAP2
KCNIP1	FRQ1
CDK6	CDC28
AVL9	AVL9
WDR88	TUP1
HSPA8	SSB1
PRKACB	TPK2
PRKACB	TPK1
SRSF3	NPL3
ARHGDIB	RDI1
VPS11	PEP5
TBCK	GYP1
PSD2	GEA2
PSD2	GEA1
MORF4L1	EAF3
TXNL1	TRX1
TXNL1	TRX2
IP6K3	KCS1
FOXM1	HCM1
LSM14B	SCD6
GEM	RAS1
GEM	RAS2
HSF2	HSF1
GRAMD1A	YSP2
SLC31A1	CTR2
BOLA3	AIM1
CTC-360G5.8	DIA4
ARHGAP42	BEM2
PPP4R3A	PSY2
PSMD4	RPN10
AIMP1	ARC1
SF3B1	HSH155
PABPC4L	PAB1
ATP5O	ATP5
SMU1	UTP13
DDX49	DBP8
MPI	PMI40
GNA11	GPA2
GSPT2	SUP35
PBRM1	RSC2
PBRM1	RSC1
ENPP2	NPP1
ENPP2	NPP2
SLC25A19	TPC1
PPP2R5A	RTS1
TRMT5	TRM5
RPL24	RPL24B
SPTLC1	LCB1
ZPR1	ZPR1
ELOVL1	ELO2
ELOVL1	ELO1
ELOVL1	ELO3
STXBP3	SEC1
LUC7L3	LUC7
DMGDH	GCV1
LUC7L2	LUC7
MAPKAPK2	RCK2
MAPKAPK2	RCK1
FOXP3	FKH2
FOXP3	FKH1
FOXP3	FHL1
CDK7	KIN28
COX6B1	COX12
PPM1N	PTC2
PPM1N	PTC3
LSM6	SMX3
BUB1	BUB1
BUB1	MAD3
TP53I3	ETR1
MPC1L	MPC1
DPM1	DPM1
USP17L4	UBP8
KHDRBS3	MSL5
ATP5B	ATP2
PPP6C	SIT4
UCK1	URK1
RPS4X	RPS4A
RPS4X	RPS4B
INPP5J	INP53
INPP5J	INP51
INPP5J	INP52
MAN2C1	AMS1
GTF3C3	TFC4
BPGM	GPM1
HIST1H3F	HHT1
HIST1H3F	HHT2
CNIH2	ERV14
CNIH2	ERV15
NAA10	ARD1
KLF8	FZF1
WDR17	SIF2
CRYZ	ETR1
MYO7A	MYO2
CNDP2	DUG1
TTC1	TOM71
TTC1	TOM70
CSNK1G3	HRR25
VPS39	VAM6
TXNRD1	GLR1
UBE2H	UBC8
PMS1	PMS1
SDE2	PRP9
SRSF1	NPL3
ACSL6	FAA2
SLC30A2	ZRC1
SLC30A2	COT1
PRKX	TPK2
PRKX	TPK1
GGA2	GGA2
GGA2	GGA1
HDAC7	HDA1
ABCC11	YCF1
SDR42E1	ERG26
DPYD	GLT1
AGAP2	AGE2
HIST1H2BH	HTB2
ATP13A5	YPK9
PGP	PHO13
PRPF3	PRP3
RAB3D	YPT1
ENPP5	NPP1
ENPP5	NPP2
PUM2	PUF3
RRM2	RNR2
SLC38A8	AVT6
SLC38A8	AVT5
SLC38A8	AVT7
EIF3I	TIF34
TRAPPC5	TRS31
POLR1D	RPC19
KMO	BNA4
SLC2A9	VPS73
CALR3	CNE1
GUCA1A	FRQ1
NOM1	SGD1
AP1B1	APL2
BRSK2	KCC4
BRSK2	HSL1
BRSK2	GIN4
ANAPC2	APC2
HTATSF1	CUS2
HSPA1A	SSB1
AP2A2	APL3
NUP62	NUP1
ATP13A3	YPK9
DNTTIP2	FCF2
CHMP4C	SNF7
RAD51D	RAD51
GMPR	IMD2
RAD52	RAD52
FBXL7	GRR1
HIST1H3G	HHT1
HIST1H3G	HHT2
SLC12A6	VHC1
ARHGAP24	RGA1
ARHGAP24	RGA2
RPL13A	RPL16A
RPL13A	RPL16B
ALG1	ALG1
USP10	UBP3
PSMD10	NAS6
GATA3	GZF3
GATA3	GAT1
GATA3	DAL80
GATA3	GLN3
KDM5A	JHD2
CAMK4	CMK1
CAMK4	CMK2
SCYL2	SCY1
ABCC2	YCF1
RP11-446E24.4	AIM33
RP11-446E24.4	MCR1
SLC39A10	YKE4
DHDDS	RER2
HDAC2	RPD3
SORD	SOR1
H2AFY2	HTA2
KIF2B	KIP3
DHRS7B	LYS2
GNAZ	GPA2
TBC1D17	GYP7
SORCS3	PEP1
SORCS3	VTH1
SORCS3	VTH2
CTC-432M15.3	CDC25
KIF7	KIP3
ZDHHC4	SWF1
TAF9B	TAF9
PGK1	PGK1
ALG6	ALG6
EIF3F	RPN8
ARL2-SNX15	ARF2
DDOST	WBP1
EEF1A2	TEF2
AATF	BFR2
MAP3K2	BCK1
MAP3K2	STE11
HSD3B2	ERG26
SLC4A2	BOR1
COPS6	RPN8
CDKL5	KIN28
DENR	TMA22
NEK3	KIN3
RABL2A	GSP2
RABL2A	GSP1
TMEM30A	LEM3
TMEM30A	CDC50
HSF1	HSF1
CSNK1G1	HRR25
KYAT3	BNA3
IAH1	IAH1
PPAN	SSF2
PI4K2A	LSB6
WDR48	CAF4
WDR48	MDV1
INPP5B	INP53
INPP5B	INP51
INPP5B	INP52
ALDH3A1	HFD1
KDM4E	GIS1
KDM4E	RPH1
UTP18	UTP18
ATP5G3	OLI1
LETM1	MDM38
LETM1	YLH47
ADAT3	TAD3
TNIK	KIC1
WDR31	ASC1
PEX10	PEX10
DIS3	DIS3
SEC14L3	SEC14
PAFAH1B1	PRP4
CLGN	CNE1
CETN2	CDC31
CHML	GDI1
DNAJB11	YDJ1
ATG9B	ATG9
SNRPE	SME1
BCAT1	BAT1
BCAT1	BAT2
OSBPL8	OSH7
OSBPL8	OSH6
RBM23	NOP13
OGFOD1	TPA1
DYRK2	YAK1
CDC14A	CDC14
HSP90AA1	HSP82
ABCF2	ARB1
LRGUK	GUK1
POLQ	SLH1
RPL9	RPL9B
SRPRA	SRP101
POLR2E	RPB5
CDC27	CDC27
YEATS4	YAF9
ROCK1	CBK1
RP1-130H16.18	MSB3
RP1-130H16.18	MSB4
CLIP4	NIP100
RBBP6	MPE1
VRK3	YCK1
VRK3	YCK2
VRK3	YCK3
KIAA1161	ROT2
USP44	UBP5
USP44	DOA4
CBS	CYS4
PLK5	CDC5
ATP2B3	PMC1
RPL3	RPL3
COG4	COG4
POC1B	PRP4
SNRPN	SMB1
RAB23	YPT7
KIF18A	KIP3
HELLS	IRC5
TARS	THS1
ACTR3	ARP3
MECR	ETR1
HPGD	SPS19
FBXL17	GRR1
ECI2	ECI1
ECI2	DCI1
CUX1	COY1
TXNDC9	PLP1
RAPGEF6	CDC25
EPC1	EPL1
MYH7B	MYO1
TVP23B	TVP23
ALG10	DIE2
NACA	EGD2
HECTD3	HUL4
ALG12	ALG12
PDXK	BUD17
PDXK	BUD16
H3F3B	HHT1
H3F3B	HHT2
NOC4L	NOC4
TAF12	TAF12
SLC25A29	CRC1
STT3B	STT3
CPSF4	YTH1
TVP23C	TVP23
DARS2	MSD1
PTCH1	NCR1
CLIP2	NIP100
ABCC4	YCF1
HUWE1	TOM1
CCT4	CCT4
RAPGEF3	CDC25
GRAMD2	YSP2
ABCC1	BPT1
TOMM34	STI1
PANK2	CAB1
DDX4	DED1
DDX4	DBP1
TFRC	VPS70
BYSL	ENP1
LPIN2	PAH1
ALG2	ALG2
CIAO1	CIA1
ACTL7A	ACT1
VBP1	PAC10
LTN1	RKR1
RP11-12J10.3	EFM4
WDR5	PRP4
ABCC8	BPT1
SLC2A8	ITR1
SLC2A8	ITR2
RP11-87C12.2	NAS2
CABP1	CMD1
MAN1C1	MNS1
ACSM5	ACS1
ACSM5	ACS2
TAGLN3	SCP1
RRM1	RNR1
MRPS12	MRPS12
HACD3	PHS1
MTMR7	YMR1
SARS2	DIA4
PPA2	IPP1
HBS1L	SUP35
PRKAG2	SNF4
ENO3	ENO1
CIT	CBK1
PPAN-P2RY11	SSF2
REPS1	EDE1
PFKFB3	FBP26
FAHD1	FMP41
DNM3	VPS1
DNM3	DNM1
NEK4	KIN3
METTL3	IME4
SEC13	SEC13
RPL18	RPL18A
RPL18	RPL18B
DHX35	PRP22
PRKACG	TPK2
PRKACG	TPK1
ZNHIT6	BCD1
UROD	HEM12
NAA30	MAK3
ELOVL7	ELO2
ELOVL7	ELO1
ELOVL7	ELO3
CLTC	CHC1
STK3	SPS1
SARDH	GCV1
EPN1	ENT3
DCLRE1C	PSO2
TCEA1	DST1
EIF3G	TIF35
UCP2	DIC1
TUBB6	TUB2
MORF4L2	EAF3
SLC39A7	YKE4
PSD	GEA2
PSD	GEA1
PSMD14	RPN11
STK38L	CBK1
CDK15	PHO85
FXN	YFH1
ABHD14A-ACY1	CPS1
PIKFYVE	FAB1
ARHGAP5	RGA1
ARHGAP5	RGA2
AP4E1	APL4
TERT	EST2
CBSL	CYS4
ATG2B	ATG2
PEX1	PEX1
NARF	NAR1
SRCAP	SWR1
IGBP1	TAP42
USP2	UBP5
USP2	DOA4
NUDT13	NPY1
USP17L29	UBP8
AWAT2	DGA1
CHMP2A	DID4
VPS29	VPS29
ERGIC3	ERV46
MSRB2	MXR2
GUK1	GUK1
PEX5	PEX5
ACTL10	ARP2
PDK2	PKP1
HELZ2	NAM7
METTL2A	ABP140
DDX50	DBP2
RHOD	RHO1
HSPA1B	SSB1
CTDSP1	PSR1
CTDSP1	PSR2
ARL8A	ARL1
RBM28	NOP4
AGK	LCB4
AGK	LCB5
MAP2K6	PBS2
TIMM8A	TIM8
TAF1L	TAF1
GNA15	GPA2
CAPZB	CAP2
SLC25A4	PET9
SLC25A4	AAC3
SLC25A4	AAC1
GLUD1	GDH1
GLUD1	GDH3
VARS	VAS1
PHF12	RCO1
PPIE	CPR3
PPIE	CPR1
TOM1	GGA2
TOM1	GGA1
SUPT6H	SPT6
PLRG1	PRP46
PRPF19	TAF5
CEPT1	CPT1
CEPT1	EPT1
SLC25A18	AGC1
PLS3	SAC6
PIP5K1A	MSS4
ATIC	ADE16
NRAS	RAS1
NRAS	RAS2
FIGN	YTA6
FIGN	SAP1
RP13-512J5.1	RNH1
PCSK4	KEX2
TAGLN	SCP1
PPM1L	PTC1
RPS6KB2	YPK1
RPS6KB2	YPK2
RPS6KB2	SCH9
MARS	MES1
PSMD7	RPN8
RP1-309K20.6	NFS1
RCBTB1	HUL4
RHOQ	CDC42
USP46	UBP13
USP46	UBP9
SLC15A1	PTR2
GPX4	HYR1
GPX4	GPX1
TBC1D3I	MSB3
